issued_year,issn,articles,oa,scopus_asjc_code_sub_subject_area,scopus_sub_subject_area,percentile,snip,sjr,top_level_code,description,subject_area
2015,0167-5273,2028,37,2705,Cardiology and Cardiovascular Medicine,80,0.925,1.082,27,Medicine,Health Sciences
2015,0167-6377,126,0,2604,Applied Mathematics,45,0.807,0.702,26,Mathematics,Physical Sciences
2015,0167-6377,126,0,1803,Management Science and Operations Research,41,0.807,0.702,18,Decision Sciences,Social Sciences
2015,0167-6377,126,0,2209,Industrial and Manufacturing Engineering,51,0.807,0.702,22,Engineering,Physical Sciences
2015,0167-6377,126,0,1712,Software,26,0.807,0.702,17,Computer Science,Physical Sciences
2015,0167-6636,173,1,2500,General Materials Science,77,1.668,1.153,25,Materials Science,Physical Sciences
2015,0167-6636,173,1,3105,Instrumentation,90,1.668,1.153,31,Physics and Astronomy,Physical Sciences
2015,0167-6636,173,1,2211,Mechanics of Materials,81,1.668,1.153,22,Engineering,Physical Sciences
2015,0167-7152,351,2,2613,Statistics and Probability,41,1.003,0.588,26,Mathematics,Physical Sciences
2015,0167-7152,351,2,1804,"Statistics, Probability and Uncertainty",42,1.003,0.588,18,Decision Sciences,Social Sciences
2015,0167-9260,69,1,1708,Hardware and Architecture,42,1.056,0.253,17,Computer Science,Physical Sciences
2015,0167-9260,69,1,2208,Electrical and Electronic Engineering,55,1.056,0.253,22,Engineering,Physical Sciences
2015,0167-9260,69,1,1712,Software,41,1.056,0.253,17,Computer Science,Physical Sciences
2015,0168-1702,301,8,2725,Infectious Diseases,77,0.904,1.194,27,Medicine,Health Sciences
2015,0168-1702,301,8,2406,Virology,64,0.904,1.194,24,Immunology and Microbiology,Life Sciences
2015,0168-1702,301,8,1306,Cancer Research,53,0.904,1.194,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0168-1923,744,17,1102,Agronomy and Crop Science,95,1.783,1.836,11,Agricultural and Biological Sciences,Life Sciences
2015,0168-1923,744,17,2306,Global and Planetary Change,84,1.783,1.836,23,Environmental Science,Physical Sciences
2015,0168-1923,744,17,1902,Atmospheric Science,89,1.783,1.836,19,Earth and Planetary Sciences,Physical Sciences
