issn,subject_area,top_level
8755-4615,Social Sciences,Arts and Humanities
8755-4615,Physical Sciences,Computer Science
8755-4615,Social Sciences,Social Sciences
1749-4613,Life Sciences,Immunology and Microbiology
2405-6758,Physical Sciences,Physics and Astronomy
2405-6758,Physical Sciences,Chemistry
2405-6758,Physical Sciences,Earth and Planetary Sciences
2352-3522,Health Sciences,Medicine
2157-1716,Health Sciences,Medicine
0079-6565,Physical Sciences,Chemistry
0079-6565,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0079-6565,Physical Sciences,Physics and Astronomy
1471-7727,Social Sciences,Social Sciences
1471-7727,Physical Sciences,Computer Science
1471-7727,Social Sciences,"Business, Management and Accounting"
1387-6473,Physical Sciences,Earth and Planetary Sciences
1387-6473,Physical Sciences,Physics and Astronomy
1047-8310,Social Sciences,"Business, Management and Accounting"
1047-8310,Social Sciences,Decision Sciences
1047-8310,Physical Sciences,Computer Science
2213-7130,Health Sciences,Medicine
2213-7130,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
