issn,subject_area,top_level
1359-835X,Physical Sciences,Engineering
1359-835X,Physical Sciences,Materials Science
1359-8368,Physical Sciences,Engineering
1359-8368,Physical Sciences,Materials Science
1364-0321,Physical Sciences,Energy
1364-8152,Physical Sciences,Computer Science
1364-8152,Physical Sciences,Environmental Science
1367-5788,Physical Sciences,Engineering
1367-5788,Physical Sciences,Computer Science
1369-703X,Physical Sciences,Engineering
1369-703X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1369-703X,Physical Sciences,Environmental Science
1369-703X,Physical Sciences,Chemical Engineering
1369-8001,Physical Sciences,Engineering
1369-8001,Physical Sciences,Physics and Astronomy
1369-8001,Physical Sciences,Materials Science
1382-6689,Physical Sciences,Environmental Science
1382-6689,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1383-5718,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1383-5718,Physical Sciences,Environmental Science
1384-1076,Physical Sciences,Earth and Planetary Sciences
1384-1076,Physical Sciences,Physics and Astronomy
1386-1425,Physical Sciences,Chemistry
1386-1425,Physical Sciences,Physics and Astronomy
1388-2457,Health Sciences,Medicine
1388-2457,Life Sciences,Neuroscience
1389-9341,Social Sciences,Social Sciences
1389-9341,Social Sciences,"Economics, Econometrics and Finance"
1389-9341,Physical Sciences,Environmental Science
1389-9341,Life Sciences,Agricultural and Biological Sciences
1434-8411,Physical Sciences,Engineering
1443-9506,Health Sciences,Medicine
1470-160X,Life Sciences,Agricultural and Biological Sciences
1470-160X,Physical Sciences,Environmental Science
1470-160X,Social Sciences,Decision Sciences
1470-2045,Health Sciences,Medicine
1474-7065,Physical Sciences,Earth and Planetary Sciences
1477-8939,Health Sciences,Medicine
1499-4046,Health Sciences,Medicine
1499-4046,Health Sciences,Nursing
1521-690X,Health Sciences,Medicine
1521-690X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1537-5110,Life Sciences,Agricultural and Biological Sciences
1537-5110,Physical Sciences,Engineering
1538-4721,Health Sciences,Medicine
1540-7489,Physical Sciences,Chemistry
1540-7489,Physical Sciences,Chemical Engineering
1540-7489,Physical Sciences,Engineering
1546-1440,Health Sciences,Medicine
1556-8598,Health Sciences,Medicine
1556-8598,Physical Sciences,Physics and Astronomy
1566-7367,Physical Sciences,Chemical Engineering
1566-7367,Physical Sciences,Chemistry
1567-5769,Health Sciences,Medicine
1567-5769,Life Sciences,Immunology and Microbiology
1567-5769,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1568-7864,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1569-9048,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1569-9048,Life Sciences,Neuroscience
1569-9048,Health Sciences,Medicine
1618-8667,Physical Sciences,Environmental Science
1618-8667,Life Sciences,Agricultural and Biological Sciences
1644-9665,Physical Sciences,Engineering
1673-8527,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1742-7061,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1742-7061,Physical Sciences,Engineering
1742-7061,Physical Sciences,Materials Science
1752-928X,Health Sciences,Medicine
1752-928X,Social Sciences,Social Sciences
1755-599X,Health Sciences,Nursing
1865-9217,Health Sciences,Medicine
1865-9217,Social Sciences,Social Sciences
1874-3919,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1875-9521,Physical Sciences,Computer Science
1936-6574,Health Sciences,Medicine
2095-4956,Physical Sciences,Chemistry
2095-4956,Physical Sciences,Energy
2210-7789,Health Sciences,Medicine
2211-2855,Physical Sciences,Materials Science
2211-2855,Physical Sciences,Energy
2211-2855,Physical Sciences,Engineering
2212-0548,Physical Sciences,Computer Science
2212-0548,Social Sciences,Arts and Humanities
2212-0548,Social Sciences,Social Sciences
2212-2672,Life Sciences,Agricultural and Biological Sciences
2212-2672,Health Sciences,Nursing
2212-5558,Health Sciences,Medicine
2212-5558,Health Sciences,Dentistry
2212-6198,Life Sciences,Agricultural and Biological Sciences
2212-6198,Physical Sciences,Chemistry
2212-6198,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
2213-2600,Health Sciences,Medicine
2213-2945,Health Sciences,Medicine
2214-7853,Physical Sciences,Materials Science
2352-5525,Health Sciences,Medicine
0002-9378,Health Sciences,Medicine
0006-291X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0010-8545,Physical Sciences,Chemistry
0010-8545,Physical Sciences,Materials Science
0039-9140,Physical Sciences,Chemistry
0091-6749,Health Sciences,Medicine
0091-6749,Life Sciences,Immunology and Microbiology
0141-8130,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0141-8130,Social Sciences,"Economics, Econometrics and Finance"
0141-8130,Physical Sciences,Energy
0167-1987,Life Sciences,Agricultural and Biological Sciences
0167-1987,Physical Sciences,Earth and Planetary Sciences
0168-3659,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0196-0644,Health Sciences,Medicine
0888-3270,Physical Sciences,Computer Science
0888-3270,Physical Sciences,Engineering
0926-3373,Physical Sciences,Chemical Engineering
0926-3373,Physical Sciences,Environmental Science
0958-9465,Physical Sciences,Materials Science
0958-9465,Physical Sciences,Engineering
0963-9969,Life Sciences,Agricultural and Biological Sciences
1226-086X,Physical Sciences,Chemical Engineering
1385-8947,Physical Sciences,Engineering
1385-8947,Physical Sciences,Environmental Science
1385-8947,Physical Sciences,Chemical Engineering
1385-8947,Physical Sciences,Chemistry
1387-1811,Physical Sciences,Materials Science
1387-1811,Physical Sciences,Engineering
1387-1811,Physical Sciences,Physics and Astronomy
1387-1811,Physical Sciences,Chemistry
1525-5050,Health Sciences,Medicine
1525-5050,Life Sciences,Neuroscience
1748-6815,Health Sciences,Medicine
1074-7427,Life Sciences,Neuroscience
1074-7427,Social Sciences,Psychology
0740-5472,Social Sciences,Psychology
0740-5472,Health Sciences,Nursing
0740-5472,Health Sciences,Medicine
1059-1311,Health Sciences,Medicine
1059-1311,Life Sciences,Neuroscience
0169-555X,Physical Sciences,Earth and Planetary Sciences
0007-6813,Social Sciences,"Business, Management and Accounting"
0016-3287,Social Sciences,"Business, Management and Accounting"
0016-3287,Social Sciences,Social Sciences
0021-9290,Health Sciences,Medicine
0021-9290,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0021-9290,Physical Sciences,Engineering
1933-2874,Health Sciences,Medicine
1933-2874,Health Sciences,Nursing
1936-8798,Health Sciences,Medicine
1779-0123,Health Sciences,Medicine
1779-0123,Health Sciences,Health Professions
1474-4422,Health Sciences,Medicine
0248-8663,Health Sciences,Medicine
0949-2658,Health Sciences,Medicine
0010-2180,Physical Sciences,Energy
0010-2180,Physical Sciences,Chemistry
0010-2180,Physical Sciences,Chemical Engineering
0010-2180,Physical Sciences,Physics and Astronomy
0022-2313,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0022-2313,Physical Sciences,Chemistry
0022-2313,Physical Sciences,Physics and Astronomy
0005-2736,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
